episode,time,step,time1,air_temperature,ground_temperature,hvac_temperature,basement_temperature,main_temperature,attic_temperature,heat_added,action,reward,total_reward,,,,,,,,,,,,,,
94,94,500,450900,0,10,20,21.3533157,21.47862772,19.77520609,2145.852,1,-0.400085819,9520.423582,TRUE,,20,,,,,,,,,,,
95,95,0,900,0,10,17.003,13.58593657,9.609387904,12.15615161,-5.994,0,3.293556088,9517.130026,TRUE,,20,,,,,,,,,,,
96,96,500,450900,0,10,22.997,21.44790476,24.57221424,19.86979516,2157.84,2,-0.153128082,9846.884167,TRUE,,20,,,,,,,,,,,
97,97,500,450900,0,10,22.997,20.36818252,23.33286429,18.79007292,2151.846,2,-0.972211824,10184.6068,TRUE,,20,,,,,,,,,,,
98,98,0,900,0,10,17.003,19.92482308,10.45969625,9.718422605,-5.994,0,3.042943774,10181.56385,TRUE,,20,,,,,,,,,,,
99,99,500,450900,0,10,22.997,21.7650011,24.91900177,20.1868915,2193.804,2,-0.149691457,10508.29413,TRUE,,20,,,,,,,,,,,
100,100,500,450900,0,10,22.997,20.86601313,23.33822435,19.28790353,2193.804,2,-1.205568546,10896.17201,TRUE,,20,,,,,,,,,,,
101,101,500,450900,0,10,22.997,21.15540104,23.66255897,19.57729144,2169.828,2,-2,11263.65943,TRUE,,20,,,,,,,,,,,
102,102,500,450900,0,10,20,21.70362898,21.72889357,20.12551938,2187.81,1,-1.255826514,11587.6942,TRUE,,20,,,,,,,,,,,
103,103,1,1800,0,10,17.003,12.11143465,9.686277065,14.8771105,-11.988,0,3.068227091,11582.21986,TRUE,,20,,,,,,,,,,,
104,104,500,450900,0,10,22.997,21.08519382,23.59091713,19.50708422,2187.81,2,-2,11943.70782,TRUE,,20,,,,,,,,,,,
105,105,500,450900,0,10,22.997,21.02781866,24.03586304,19.44970906,2199.798,2,-0.251426593,12277.1833,TRUE,,20,,,,,,,,,,,
106,106,500,450900,0,10,20,21.95438271,22.12132458,20.37627311,2181.816,1,-1.125583752,12634.87564,TRUE,,20,,,,,,,,,,,
107,107,500,450900,0,10,20,21.6672487,21.82212796,20.08913909,2199.798,1,-0.393215872,12975.41002,TRUE,,20,,,,,,,,,,,
108,108,500,450900,0,10,20,21.74744427,21.90891407,20.16933467,2175.822,1,-0.394122211,13297.62441,TRUE,,20,,,,,,,,,,,
109,109,500,450900,0,10,22.997,21.64379075,24.79517479,20.06568115,2175.822,2,-0.141809265,13620.00521,TRUE,,20,,,,,,,,,,,
110,110,5,5400,0,10,17.003,12.34663432,8.96175049,12.00785841,-17.982,0,3.519065819,13604.16406,TRUE,,20,,,,,,,,,,,
111,111,500,450900,0,10,22.997,21.10908525,23.61427759,19.53097564,2187.81,2,-2,13934.3529,TRUE,,20,,,,,,,,,,,
112,112,500,450900,0,10,22.997,21.09349335,24.21008463,19.51538375,2193.804,2,-0.14658332,14272.39194,TRUE,,20,,,,,,,,,,,
113,113,1,1800,0,10,17.003,12.74954746,8.802860066,12.68839186,-11.988,0,3.384715955,14266.13853,TRUE,,20,,,,,,,,,,,
114,114,500,450900,0,10,20,21.50319653,21.63167273,19.92508693,2199.798,1,-0.405337872,14596.93476,TRUE,,20,,,,,,,,,,,
115,115,500,450900,0,10,22.997,21.53043481,24.54904294,19.9523252,2199.798,2,-0.256999378,14938.92262,TRUE,,20,,,,,,,,,,,
116,116,500,450900,0,10,20,21.73800978,21.89438292,20.15990018,2181.816,1,-0.397831578,15273.58294,TRUE,,20,,,,,,,,,,,
117,117,500,450900,0,10,22.997,20.68429931,23.18051101,19.10618971,2199.798,2,-1.154438972,15623.21377,TRUE,,20,,,,,,,,,,,
118,118,500,450900,0,10,22.997,21.05688454,23.53312801,19.47877494,2205.792,2,-2,15972.03453,TRUE,,20,,,,,,,,,,,
119,119,500,450900,0,10,20,21.68303634,21.83829656,20.10492673,2163.834,1,-0.394154267,16302.17649,TRUE,,20,,,,,,,,,,,
120,120,500,450900,0,10,22.997,21.47058354,24.61808716,19.89247393,2205.792,2,-0.133449476,16628.3645,TRUE,,20,,,,,,,,,,,
121,121,500,450900,0,10,20,21.35310087,21.36479888,19.77499126,2193.804,1,-0.507668391,16977.75725,TRUE,,20,,,,,,,,,,,
122,122,500,450900,0,10,22.997,21.97053024,25.13375733,20.39242064,2193.804,2,-0.873322184,17330.36704,TRUE,,20,,,,,,,,,,,
123,123,500,450900,0,10,22.997,20.67280674,23.13472787,19.09469714,2205.792,2,-1.161029851,17702.85163,TRUE,,20,,,,,,,,,,,
124,124,500,450900,0,10,20,21.66622956,21.69048124,20.08811996,2205.792,1,-1.263515838,18066.5188,TRUE,,20,,,,,,,,,,,
125,125,500,450900,0,10,22.997,21.62954544,24.75768947,20.05143584,2217.78,2,-0.161617344,18440.35937,TRUE,,20,,,,,,,,,,,
126,126,500,450900,0,10,22.997,20.79469935,23.28807605,19.21658975,2175.822,2,-1.181824663,18806.16673,TRUE,,20,,,,,,,,,,,
127,127,500,450900,0,10,22.997,21.66450795,24.82127395,20.08639835,2247.75,2,-0.138635187,19200.40992,TRUE,,20,,,,,,,,,,,
128,128,500,450900,0,10,20,21.27409804,21.39751445,19.69598844,2211.786,1,-0.398443985,19562.23034,TRUE,,20,,,,,,,,,,,
129,129,500,450900,0,10,22.997,21.45840905,23.97202385,19.88029945,2229.768,2,-2,19960.31616,TRUE,,20,,,,,,,,,,,
130,130,500,450900,0,10,22.997,21.90884586,25.04288635,20.33073626,2199.798,2,-0.900533916,20324.40918,TRUE,,20,,,,,,,,,,,
131,131,500,450900,0,10,22.997,21.13087879,24.13488282,19.55276919,2223.774,2,-0.256369343,20698.34843,TRUE,,20,,,,,,,,,,,
132,132,500,450900,0,10,22.997,21.00408387,24.00535325,19.42597427,2205.792,2,-0.258302204,21072.22912,TRUE,,20,,,,,,,,,,,
133,133,500,450900,0,10,22.997,20.92998554,23.29610647,19.35187594,2229.768,2,-2,21444.46658,TRUE,,20,,,,,,,,,,,
134,134,500,450900,0,10,22.997,21.33098138,24.34515499,19.75287178,2235.762,2,-0.251450242,21887.13846,TRUE,,20,,,,,,,,,,,
135,135,500,450900,0,10,22.997,21.31289892,23.81748635,19.73478931,2235.762,2,-2,22321.07215,TRUE,,20,,,,,,,,,,,
136,136,500,450900,0,10,20,22.1316306,22.30126888,20.55352099,2223.774,1,-1.095106071,22757.99258,TRUE,,20,,,,,,,,,,,
137,137,500,450900,0,10,22.997,21.04403543,24.0510934,19.46592583,2217.78,2,-0.252486768,23172.65697,TRUE,,20,,,,,,,,,,,
138,138,500,450900,0,10,22.997,20.80667026,23.29925395,19.22856066,2211.786,2,-1.184985922,23594.5136,TRUE,,20,,,,,,,,,,,
139,139,500,450900,0,10,22.997,21.41682881,24.43281488,19.8387192,2217.78,2,-0.253342604,24025.07642,TRUE,,20,,,,,,,,,,,
140,140,500,450900,0,10,20,22.33832425,22.50743133,20.76021465,2241.756,1,-1.062543818,24466.96038,TRUE,,20,,,,,,,,,,,
141,141,500,450900,0,10,22.997,21.31615633,23.69038211,19.73804673,2247.75,2,-2,24884.3521,TRUE,,20,,,,,,,,,,,
142,142,500,450900,0,10,22.997,20.89155151,23.25659014,19.31344191,2199.798,2,-1.243838348,25309.64465,TRUE,,20,,,,,,,,,,,
143,143,500,450900,0,10,22.997,22.08376821,24.61080888,20.5056586,2217.78,2,-2,25779.29747,TRUE,,20,,,,,,,,,,,
144,144,500,450900,0,10,22.997,22.69539001,25.86902224,21.11728041,2283.714,2,-0.753928982,26296.12645,TRUE,,20,,,,,,,,,,,
145,145,1,1800,0,10,17.003,12.45365855,8.275488992,11.25514133,-11.988,0,3.646279362,26289.26817,TRUE,,20,,,,,,,,,,,
146,146,500,450900,0,10,22.997,22.72083565,25.89501524,21.14272604,2313.684,2,-0.749851081,26751.92894,TRUE,,20,,,,,,,,,,,
147,147,500,450900,0,10,20,21.98543554,22.14708938,20.40732594,2265.732,1,-1.123474699,27243.2709,TRUE,,20,,,,,,,,,,,
148,148,500,450900,0,10,20,22.18766338,22.35820348,20.60955377,2229.768,1,-1.085609873,27719.84093,TRUE,,20,,,,,,,,,,,
149,149,500,450900,0,10,22.997,21.78830177,24.91985734,20.21019217,2259.738,2,-0.172008802,28201.81043,TRUE,,20,,,,,,,,,,,
150,150,500,450900,0,10,22.997,21.79756688,24.92931542,20.21945728,2265.732,2,-0.920907557,28699.56638,TRUE,,20,,,,,,,,,,,
151,151,500,450900,0,10,22.997,21.91324094,24.93970741,20.33513133,2271.726,2,-0.964703486,29211.75216,TRUE,,20,,,,,,,,,,,
152,152,500,450900,0,10,22.997,22.57183669,25.61220694,20.99372709,2307.69,2,-0.844592799,29703.06945,TRUE,,20,,,,,,,,,,,
153,153,500,450900,0,10,22.997,22.46817348,25.61408195,20.89006388,2301.696,2,-0.803183623,30198.60693,TRUE,,20,,,,,,,,,,,
154,154,500,450900,0,10,22.997,21.31106031,24.42603066,19.7329507,2277.72,2,-0.154957696,30727.04902,TRUE,,20,,,,,,,,,,,
155,155,500,450900,0,10,20,22.50014704,22.67266764,20.92203743,2295.702,1,-1.035627227,31229.55212,TRUE,,20,,,,,,,,,,,
156,156,500,450900,0,10,20,22.56216399,22.71304449,20.98405439,2295.702,1,-1.037603427,31751.98237,TRUE,,20,,,,,,,,,,,
157,157,500,450900,0,10,22.997,21.65410012,24.67503526,20.07599052,2319.678,2,-0.263321917,32247.92027,TRUE,,20,,,,,,,,,,,
158,158,500,450900,0,10,22.997,21.82139489,24.94736225,20.24328529,2319.678,2,-0.920248915,32703.05334,TRUE,,20,,,,,,,,,,,
159,159,500,450900,0,10,22.997,22.31546213,25.35070313,20.73735253,2313.684,2,-0.889638779,33211.05656,TRUE,,20,,,,,,,,,,,
160,160,500,450900,0,10,22.997,21.35372483,23.72851993,19.77561522,2307.69,2,-2,33740.8243,TRUE,,20,,,,,,,,,,,
161,161,500,450900,0,10,22.997,22.6477669,25.82039376,21.0696573,2331.666,2,-0.7615872,34252.53677,TRUE,,20,,,,,,,,,,,
162,162,500,450900,0,10,20,22.16686397,21.6984351,20.58875437,2313.684,1,-2.25,34764.8833,TRUE,,20,,,,,,,,,,,
163,163,500,450900,0,10,20,22.72751828,22.91099514,21.14940867,2343.654,1,-0.995617575,35251.33844,TRUE,,20,,,,,,,,,,,
164,164,500,450900,0,10,22.997,21.75394084,24.77725463,20.17583123,2337.66,2,-0.995776324,35770.57773,TRUE,,20,,,,,,,,,,,
165,165,500,450900,0,10,20,22.64822133,22.82875528,21.07011173,2307.69,1,-1.008968616,36309.81415,TRUE,,20,,,,,,,,,,,
